SIZE,TIME
0.5,95.452
0.5,92.46
0.5,90.647
0.5,94.259
0.5,93.624
0.5,93.451
0.5,93.453
0.5,94.012
0.5,96.248
0.5,97.738
0.5,93.991
0.5,94.528
0.5,96.731
0.5,92.355
0.5,92.614
0.5,92.555
0.5,95.138
0.5,92.03
0.5,94.505
0.5,94.391
0.5,91.576
0.5,92.903
0.5,93.433
0.5,92.835
0.5,94.682
1,181.623
1,178.613
1,178.369
1,175.914
1,178.452
1,183.462
1,175.98
1,178.267
1,179.536
1,182.524
1,181.439
1,183.866
1,175.598
1,179.873
1,179.96
1,178.893
1,185.313
1,179.972
1,175.06
1,173.619
1,181.193
1,183.029
1,180.445
1,182.532
1,177.191
1.5,291.577
1.5,276.599
1.5,294.491
1.5,274.576
1.5,291.823
1.5,289.903
1.5,281.534
1.5,280.898
1.5,282.149
1.5,275.693
1.5,275.952
1.5,269.551
1.5,276.112
1.5,279.901
1.5,281.086
1.5,286.085
1.5,277.078
1.5,295.977
1.5,295.423
1.5,279.935
1.5,286.065
1.5,279.309
1.5,280.482
1.5,284.851
1.5,276.437
2,348.599
2,350.659
2,346.958
2,353.809
2,361.923
2,359.924
2,361.369
2,351.568
2,346.712
2,355.699
2,351.614
2,359.012
2,366.221
2,362.514
2,354.735
2,358.145
2,355.901
2,350.492
2,358.515
2,360.259
2,350.224
2,353.965
2,355.482
2,366.142
2,350.927
