"SIZE","TIME","USED_B","FREE_B","USED_M","FREE_M"
0.5,95.452,3336.69861111111,138166.666666667,3060.55769230769,325207.692307692
0.5,92.46,3336.69861111111,138347.222222222,3060.55769230769,325207.692307692
0.5,90.647,3339.47638888889,138102.777777778,3060.55769230769,325207.692307692
0.5,94.259,3588.44179104478,138110.447761194,3060.55769230769,325203.846153846
0.5,93.624,3339.47638888889,138102.777777778,3060.55769230769,325207.692307692
0.5,93.451,3339.47638888889,138166.666666667,3060.55769230769,325207.692307692
0.5,93.453,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,94.012,3339.47638888889,138112.5,3060.55769230769,325207.692307692
0.5,96.248,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,97.738,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,93.991,3339.47638888889,138102.777777778,3060.55769230769,325207.692307692
0.5,94.528,3336.69861111111,138102.777777778,3060.55769230769,325207.692307692
0.5,96.731,3336.69861111111,138102.777777778,3060.55769230769,325207.692307692
0.5,92.355,3339.47638888889,138112.5,3060.55769230769,325207.692307692
0.5,92.614,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,92.555,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,95.138,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,92.03,3339.47638888889,138102.777777778,3060.55769230769,325207.692307692
0.5,94.505,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,94.391,3336.69861111111,138112.5,3060.55769230769,325207.692307692
0.5,91.576,3336.69861111111,138347.222222222,3060.55769230769,325207.692307692
0.5,92.903,3339.47638888889,138113.888888889,3060.55769230769,325207.692307692
0.5,93.433,3249.28513513514,139491.891891892,3060.55769230769,325207.692307692
0.5,92.835,3336.69861111111,138288.888888889,3060.55769230769,325203.846153846
0.5,94.682,3336.69861111111,138337.5,3060.55769230769,325207.692307692
1,181.623,4602.62980769231,126115.384615385,5001.28387096774,284287.096774194
1,178.613,4483.75754716981,127191.509433962,5001.28387096774,284287.096774194
1,178.369,4618.97596153846,126042.307692308,5001.28387096774,284287.096774194
1,175.914,4531.87075471698,127316.981132075,5001.28387096774,284290.322580645
1,178.452,4483.75754716981,127171.698113208,5001.28387096774,284287.096774194
1,183.462,4616.09134615385,126351.923076923,5001.28387096774,284290.322580645
1,175.98,4618.97596153846,126078.846153846,5001.28387096774,284287.096774194
1,178.267,4616.09134615385,126151.923076923,5001.28387096774,284287.096774194
1,179.536,4616.09134615385,126476.923076923,5001.28387096774,284290.322580645
1,182.524,4616.09134615385,126117.307692308,5001.28387096774,284290.322580645
1,181.439,4616.09134615385,126151.923076923,5001.28387096774,284287.096774194
1,183.866,4616.09134615385,126241.346153846,5001.28387096774,284287.096774194
1,175.598,4569.9375,126521.153846154,5001.28387096774,284290.322580645
1,179.873,4490.11962616822,126389.719626168,5001.28387096774,284290.322580645
1,179.96,4531.87075471698,127114.150943396,5001.28387096774,284287.096774194
1,178.893,4569.9375,126115.384615385,5001.28387096774,284287.096774194
1,185.313,4529.04056603774,127171.698113208,5001.28387096774,284287.096774194
1,179.972,4616.09134615385,126404.807692308,5001.28387096774,284290.322580645
1,175.06,4616.09134615385,126080.769230769,5001.28387096774,284290.322580645
1,173.619,4569.9375,126477.884615385,5001.28387096774,284290.322580645
1,181.193,4618.97596153846,126115.384615385,5001.28387096774,284287.096774194
1,183.029,4618.97596153846,126550,5001.28387096774,284290.322580645
1,180.445,4616.09134615385,126476.923076923,5001.28387096774,284290.322580645
1,182.532,4529.04056603774,127114.150943396,5001.28387096774,284287.096774194
1,177.191,4618.97596153846,126529.807692308,5001.28387096774,284290.322580645
1.5,291.577,5166.44071428571,122495.714285714,6318.63243243243,241337.837837838
1.5,276.599,5152.155,122170,6318.63243243243,241335.135135135
1.5,294.491,5167.87071428571,122439.285714286,6318.63243243243,241337.837837838
1.5,274.576,5170.01214285714,122442.857142857,6318.63243243243,241337.837837838
1.5,291.823,5154.29928571429,122492.142857143,6318.63243243243,241337.837837838
1.5,289.903,5166.44071428571,122465.714285714,6318.63243243243,241337.837837838
1.5,281.534,5178.58357142857,122085,6318.63243243243,241335.135135135
1.5,280.898,5132.15785714286,122499.285714286,6318.63513513513,241337.837837838
1.5,282.149,5204.29785714286,122463.571428571,6318.63243243243,241337.837837838
1.5,275.693,5125.72928571429,122441.428571429,6318.63513513513,241337.837837838
1.5,275.952,5160.01214285714,122085,6318.63243243243,241335.135135135
1.5,269.551,5194.29785714286,122469.285714286,6318.63243243243,241337.837837838
1.5,276.112,5157.87071428571,122492.142857143,6318.63243243243,241337.837837838
1.5,279.901,5147.86928571429,122492.142857143,6318.63243243243,241337.837837838
1.5,281.086,5162.155,122463.571428571,6318.63243243243,241337.837837838
1.5,286.085,5162.155,122469.285714286,6318.63243243243,241337.837837838
1.5,277.078,5156.44071428571,122495.714285714,6318.63243243243,241337.837837838
1.5,295.977,5178.585,122490,6318.63243243243,241337.837837838
1.5,295.423,5194.29928571429,122346.428571429,6318.63243243243,241329.72972973
1.5,279.935,5194.29785714286,122490,6318.63243243243,241337.837837838
1.5,286.065,5150.01357142857,122463.571428571,6318.63243243243,241337.837837838
1.5,279.309,5178.58785714286,122465.714285714,6318.63513513513,241335.135135135
1.5,280.482,5178.58357142857,122465.714285714,6318.63243243243,241337.837837838
1.5,284.851,5154.29928571429,122135.714285714,6318.63243243243,241337.837837838
1.5,276.437,5194.30214285714,122442.857142857,6318.63513513513,241335.135135135
2,348.599,5541.27884615385,116847.435897436,6912.72820512821,220230.769230769
2,350.659,5500.89423076923,116676.923076923,6912.72820512821,220230.769230769
2,346.958,5522.6891025641,116700.641025641,6912.72820512821,220230.769230769
2,353.809,5484.22756410256,116741.666666667,6912.72820512821,220230.769230769
2,361.923,5489.35320512821,116741.666666667,6912.72564102564,220230.769230769
2,359.924,5489.35320512821,116741.666666667,6912.72564102564,220230.769230769
2,361.369,5503.45833333333,116765.384615385,6912.72820512821,220230.769230769
2,351.568,5503.45576923077,116717.948717949,6912.72564102564,220230.769230769
2,346.712,5515.63782051282,116754.487179487,6912.72820512821,220230.769230769
2,355.699,5520.12115384615,116748.076923077,6912.72564102564,220230.769230769
2,351.614,5522.6891025641,116724.358974359,6912.72820512821,220230.769230769
2,359.012,5506.01858974359,116700.641025641,6912.72564102564,220230.769230769
2,366.221,5477.17371794872,116741.666666667,6912.72564102564,220230.769230769
2,362.514,5506.02756410256,116794.230769231,6912.73076923077,220230.769230769
2,354.735,5510.50961538462,116789.102564103,6912.72820512821,220230.769230769
2,358.145,5510.51730769231,116700.641025641,6912.73333333333,220230.769230769
2,355.901,5543.8391025641,116724.358974359,6912.72564102564,220230.769230769
2,350.492,5510.50961538462,116724.358974359,6912.72820512821,220230.769230769
2,358.515,5524.60961538462,116467.948717949,6912.72564102564,220230.769230769
2,360.259,5515.64294871795,116717.948717949,6912.73076923077,220230.769230769
2,350.224,5507.94551282051,116694.230769231,6912.72820512821,220230.769230769
2,353.965,5507.9391025641,116700.641025641,6912.72307692308,220230.769230769
2,355.482,5510.50576923077,116724.358974359,6912.72564102564,220230.769230769
2,366.142,5536.79166666667,116374.358974359,6912.72820512821,220230.769230769
2,350.927,5500.89423076923,116811.538461538,6912.72820512821,220230.769230769
